Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.01.01	1848,36	398,79	560,898	54,649	37,41	91,59	30,63	101,2	58,48	177900	136,49	82,34	78,69	45,4	49,14	82,94
2014.01.02	1831,98	397,97	557,099	54,71	37,16	91,03	30,46	99,75	58,21	176320	136,67	82,02	78,91	45,02	49	82,1
2014.01.03	1831,37	396,44	553,035	54,557	36,91	91,85	30,52	99,51	58,66	176336	137,62	81,89	78,65	45,34	48,42	82,24
2014.01.06	1826,77	393,63	559,201	57,2	36,13	92,33	30,55	99,66	59	174500	138,41	81,1	78,21	45,42	48,69	82,28
2014.01.07	1837,88	398,03	569,981	57,92	36,41	94,29	30,74	101,07	58,32	174195	140,51	81,5	78,45	45,4	49,3	83,48
2014.01.08	1837,49	401,92	571,168	58,23	35,76	94,16	30,95	100,74	58,87	173284	140,82	81,93	77,83	45,92	48,5	83,24
2014.01.09	1838,13	401,01	565,668	57,22	35,53	94,73	30,93	99,76	58,76	172965	142,13	81,57	78,09	46,16	47,5	82,85
2014.01.10	1842,37	397,66	565,638	57,94	36,04	94,74	30,69	100,52	58,49	172540	141,9	82,01	78,04	45,94	47,75	83,5
2014.01.13	1819,2	390,98	562,034	55,91	34,98	94,5	30,54	98,55	57,7	170893,33	140,7	80,97	77,49	45,56	47,03	82,37
